episode_id,timestep,bs_status
0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,2,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
0,3,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
0,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
0,5,"[0, 0, 0, 0, 0, 1, 1, 0, 0]"
0,6,"[1, 0, 0, 0, 0, 1, 1, 1, 1]"
0,7,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,8,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,9,"[1, 1, 1, 1, 1, 1, 1, 0, 1]"
0,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,11,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,12,"[1, 0, 1, 1, 1, 1, 1, 1, 1]"
0,13,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,14,"[0, 1, 1, 0, 0, 0, 0, 0, 0]"
0,15,"[1, 0, 0, 0, 1, 0, 0, 0, 1]"
0,16,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,17,"[1, 0, 0, 0, 0, 0, 0, 1, 1]"
0,18,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
0,19,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,21,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,22,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
0,23,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
0,24,"[0, 1, 1, 1, 1, 1, 1, 1, 0]"
0,25,"[0, 1, 1, 1, 1, 1, 1, 1, 0]"
0,26,"[0, 0, 1, 0, 1, 1, 1, 1, 0]"
0,27,"[0, 0, 1, 0, 0, 0, 1, 0, 0]"
0,28,"[0, 1, 1, 1, 1, 1, 1, 1, 0]"
0,29,"[0, 1, 1, 1, 1, 1, 1, 1, 0]"
0,30,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
0,31,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,32,"[1, 1, 0, 1, 1, 1, 1, 0, 1]"
0,33,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
0,34,"[1, 1, 0, 1, 1, 1, 1, 1, 1]"
0,35,"[1, 0, 0, 1, 1, 1, 1, 0, 1]"
0,36,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
0,37,"[1, 0, 1, 0, 0, 0, 1, 0, 1]"
0,38,"[0, 0, 1, 0, 0, 1, 0, 0, 0]"
0,39,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,40,"[1, 0, 1, 1, 1, 1, 1, 1, 1]"
0,41,"[1, 0, 0, 0, 1, 1, 1, 0, 1]"
0,42,"[1, 0, 0, 0, 1, 1, 1, 0, 1]"
0,43,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,44,"[1, 0, 1, 0, 1, 1, 1, 0, 1]"
0,45,"[1, 0, 1, 1, 1, 1, 1, 0, 1]"
0,46,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,47,"[1, 0, 1, 1, 1, 1, 1, 0, 1]"
